date,scan_time,ticker,verdict,priority,score,entry_price,stop,target1,target2,gap_pct,rel_vol,catalyst,float_m,short_float,above_vwap,spread_pct,outcome_time,outcome_price,outcome_pct,hit_target1,hit_target2,hit_stop,result,would_profit
2026-03-02,08:20,SLV,WATCH,B,17,85.59,84.95,86.45,87.3,6.38,0.23,news,341.4,0,True,0.082,08:50,84.42,-1.37,False,False,True,STOPPED,-0.64
2026-03-02,08:25,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,08:55,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:25,ARLO,GO,A,48,15.69,15.57,15.85,16.0,27.15,1.08,news,103.9,12.2,False,0.255,08:55,15.695,0.03,False,False,False,POSITIVE,0.01
2026-03-02,08:25,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,08:55,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,08:25,NFLX,WATCH,A,34,88.97,88.3,89.86,90.75,5.14,1.23,news,4192.9,2.0,False,11.824,08:55,95.36,7.18,True,True,False,TARGET2,1.34
2026-03-02,08:25,NVD,WATCH,B,33,7.71,7.65,7.79,7.86,11.02,0.64,news,150.0,0,True,0.13,08:55,7.74,0.39,False,False,False,POSITIVE,0.03
2026-03-02,08:25,TZA,WATCH,B,31,6.42,6.37,6.48,6.55,8.54,0.6,news,150.0,0,True,0.156,08:55,6.48,0.93,True,False,False,TARGET1,0.05
2026-03-02,08:25,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,08:55,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,08:25,BWIN,WATCH,B,30,23.23,23.06,23.46,23.69,25.84,0.47,news,95.4,7.6,True,0.129,08:55,23.25,0.09,False,False,False,POSITIVE,0.02
2026-03-02,08:25,TSDD,WATCH,B,30,9.59,9.52,9.69,9.78,7.45,0.87,news,150.0,0,True,0.313,08:55,9.6,0.1,False,False,False,POSITIVE,0.01
2026-03-02,08:25,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,08:55,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:25,UVIX,WATCH,B,28,6.76,6.71,6.83,6.9,16.15,0.3,news,150.0,0,True,0.296,08:55,6.96,2.96,True,True,False,TARGET2,0.1
2026-03-02,08:25,XLE,WATCH,B,20,58.17,57.73,58.75,59.33,5.67,0.31,news,186.4,0,True,,08:55,58.23,0.1,False,False,False,POSITIVE,0.06
2026-03-02,08:25,AAL,WATCH,B,20,15.42,15.3,15.57,15.73,10.62,0.32,news,650.2,6.9,True,40.726,08:55,12.27,-20.43,False,False,True,STOPPED,-0.12
2026-03-02,08:25,SLV,WATCH,B,17,85.62,84.98,86.48,87.33,6.41,0.23,news,341.4,0,True,0.152,08:55,84.42,-1.4,False,False,True,STOPPED,-0.64
2026-03-02,08:30,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,09:00,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:30,ARLO,GO,A,48,15.69,15.57,15.85,16.0,27.15,1.08,news,103.9,12.2,False,0.255,09:00,15.695,0.03,False,False,False,POSITIVE,0.01
2026-03-02,08:30,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,09:00,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,08:30,NFLX,WATCH,A,38,93.59,92.89,94.53,95.46,10.6,1.23,news,4192.9,2.0,False,3.344,09:00,95.03,1.54,True,False,False,TARGET1,0.7
2026-03-02,08:30,NVD,WATCH,B,32,7.7,7.64,7.78,7.85,10.87,0.64,news,150.0,0,True,0.13,09:00,7.73,0.39,False,False,False,POSITIVE,0.03
2026-03-02,08:30,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,09:00,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,08:30,TZA,WATCH,B,31,6.45,6.4,6.51,6.58,9.04,0.6,news,150.0,0,True,0.155,09:00,6.48,0.47,False,False,False,POSITIVE,0.03
2026-03-02,08:30,TSDD,WATCH,B,30,9.6,9.53,9.7,9.79,7.56,0.87,news,150.0,0,True,0.625,09:00,9.6,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:30,BWIN,WATCH,B,30,23.23,23.06,23.46,23.69,25.84,0.47,news,95.4,7.6,True,0.129,09:00,23.25,0.09,False,False,False,POSITIVE,0.02
2026-03-02,08:30,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,09:00,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:30,UVIX,WATCH,B,29,6.83,6.78,6.9,6.97,17.35,0.3,news,150.0,0,True,0.146,09:00,7.05,3.22,True,True,False,TARGET2,0.1
2026-03-02,08:30,AAL,WATCH,B,20,15.42,15.3,15.57,15.73,10.62,0.32,news,650.2,6.9,True,40.726,09:00,12.27,-20.43,False,False,True,STOPPED,-0.12
2026-03-02,08:30,XLE,WATCH,B,20,58.17,57.73,58.75,59.33,5.67,0.31,news,186.4,0,True,,09:00,58.23,0.1,False,False,False,POSITIVE,0.06
2026-03-02,08:30,SQQQ,WATCH,B,19,73.34,72.79,74.07,74.81,4.65,0.17,news,150.0,0,True,0.041,09:00,74.06,0.98,False,False,False,POSITIVE,0.72
2026-03-02,08:30,SLV,WATCH,B,17,85.62,84.98,86.48,87.33,6.41,0.23,news,341.4,0,True,0.152,09:00,85.01,-0.71,False,False,False,NEGATIVE,-0.61
2026-03-02,08:35,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,09:05,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:35,ARLO,GO,A,48,15.69,15.57,15.85,16.0,27.15,1.08,news,103.9,12.2,False,0.255,09:05,15.695,0.03,False,False,False,POSITIVE,0.01
2026-03-02,08:35,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,09:05,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,08:35,NFLX,GO,A,39,94.91,94.2,95.86,96.81,12.16,1.23,news,4192.9,2.0,True,6.079,09:05,95.03,0.13,False,False,False,POSITIVE,0.12
2026-03-02,08:35,NVD,WATCH,B,33,7.71,7.65,7.79,7.86,11.02,0.64,news,150.0,0,True,0.13,09:05,7.73,0.26,False,False,False,POSITIVE,0.02
2026-03-02,08:35,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,09:05,15.66,1.16,True,False,False,TARGET1,0.12
